sstart,ssample_start_date,ssample_end_date,mad,mae,rmse,r_sq
0,2004-05-01,2012-08-01,0.0016666902695896676,0.0020778259401702578,0.002438703062216211,0.595535192566033
1,2004-06-01,2012-09-01,0.002102480209345986,0.002096484117408681,0.0024551823475443667,0.5757227511776104
2,2004-07-01,2012-10-01,0.00197265993917411,0.0023127606739404096,0.0025732823663112098,0.5256438072419419
3,2004-08-01,2012-11-01,0.002204145061010227,0.001821156212941887,0.002152923540651562,0.6234098567475002
4,2004-09-01,2012-12-01,0.00234085619679738,0.002069657793489351,0.0022659973610111043,0.6242174889585537
5,2004-10-01,2013-01-01,0.0013039968745578129,0.002145545915687495,0.0023242110176736317,0.5959290499356915
6,2004-11-01,2013-02-01,0.0013039968745578129,0.0021196338547142847,0.0022951671451954753,0.6491686689088894
7,2004-12-01,2013-03-01,0.0022746601004360245,0.0018936137706622122,0.00213346210762928,0.7196032114377962
8,2005-01-01,2013-04-01,0.0022746601004360245,0.0020460691474773643,0.0024024708782841788,0.6648310065334981
9,2005-02-01,2013-05-01,0.0019415748986434756,0.001941335405364049,0.0023219145992519796,0.6708108846999704
10,2005-03-01,2013-06-01,0.0016986567256781046,0.001692884668277926,0.002184726510532164,0.7089144134843317
11,2005-04-01,2013-07-01,0.0019415748986434758,0.002093732798201405,0.0024702077130196775,0.6815633554896503
12,2005-05-01,2013-08-01,0.0022746601004360245,0.002433201375312435,0.002895043640353711,0.5805962524242578
13,2005-06-01,2013-09-01,0.0019415748986434758,0.0023015273904435215,0.00282425199387199,0.6265991491542862
14,2005-07-01,2013-10-01,0.0016696238347928259,0.002203614737579112,0.00275071444688804,0.6266533593969615
15,2005-08-01,2013-11-01,0.0021805012320128166,0.002467759821528332,0.00291271741706633,0.6038302526121383
16,2005-09-01,2013-12-01,0.0015499242871858374,0.0019400165861293427,0.0024175346734623252,0.7134914744096006
17,2005-10-01,2014-01-01,0.0023172480285548053,0.002583797713935393,0.0033105978782514917,0.558903360919318
18,2005-11-01,2014-02-01,0.002199919762217962,0.0026131297805196043,0.0033138545674005326,0.5589827878857148
19,2005-12-01,2014-03-01,0.0016999801188439978,0.0025547091934386697,0.003260048613619859,0.565088416475788
20,2006-01-01,2014-04-01,0.002199919762217962,0.0024503429709882077,0.0031194325044028286,0.5601016214844556
21,2006-02-01,2014-05-01,0.0015965347527067014,0.0024261326525240935,0.003112331603488515,0.5399751243660913
22,2006-03-01,2014-06-01,0.0018344154849800347,0.002485602835592427,0.003149178581038112,0.5308968833283704
23,2006-04-01,2014-07-01,0.0012836892175754973,0.00228688671767147,0.00302044407129317,0.5188134031313294
