sstart,ssample_start_date,ssample_end_date,mad,mae,rmse,r_sq
0,2004-05-01,2012-08-01,0.00227236986641136,0.0027881054110157517,0.0034012839238592835,0.3178790371312198
1,2004-06-01,2012-09-01,0.002189852563640298,0.0026768474139261594,0.0032575213270001112,0.28572529631321286
2,2004-07-01,2012-10-01,0.0025193704246490025,0.002750068548563511,0.0033058945917536714,0.20070832251555282
3,2004-08-01,2012-11-01,0.0029966077258790176,0.0028527024283655444,0.003361913395975183,0.18455964633451594
4,2004-09-01,2012-12-01,0.0025193704246490025,0.0026132977287526404,0.0031531552018252418,0.3269002887340402
5,2004-10-01,2013-01-01,0.002404207814857547,0.0027490542299013214,0.003224164408901998,0.30034661482960734
6,2004-11-01,2013-02-01,0.0029966077258790176,0.0029654003037030445,0.0033894306571413983,0.24178680945490572
7,2004-12-01,2013-03-01,0.0025193704246490025,0.0027906918063507345,0.0033227013853236653,0.2971702669309163
8,2005-01-01,2013-04-01,0.0027902171997673925,0.002727522588216595,0.003252926650681845,0.2996027243022962
9,2005-02-01,2013-05-01,0.0027902171997673925,0.0026628592135732594,0.0032328199204995508,0.3035564079233002
10,2005-03-01,2013-06-01,0.0023644478311424175,0.002898988833142001,0.003383708673665379,0.22892512578744895
11,2005-04-01,2013-07-01,0.0027902171997673925,0.002856582876427661,0.00334970453828457,0.3342627509660093
12,2005-05-01,2013-08-01,0.002647901635214174,0.003015828422639712,0.0035407690419246465,0.3121149159552816
13,2005-06-01,2013-09-01,0.0026965192366411894,0.002568487188277025,0.002898212827813684,0.5612077103128918
14,2005-07-01,2013-10-01,0.002647901635214174,0.0025972505629066277,0.002935349552104918,0.5453802300840634
15,2005-08-01,2013-11-01,0.0014660466674765605,0.0026678816311020612,0.003009090514494567,0.552615427301451
16,2005-09-01,2013-12-01,0.0023644478311424175,0.0025446209614574523,0.0029392323344202315,0.5691640209369188
17,2005-10-01,2014-01-01,0.0030747842848506406,0.0029717515304405395,0.003479659281428981,0.4498385444189834
18,2005-11-01,2014-02-01,0.002972131619190822,0.0027947205502138694,0.003407710165073836,0.4738026722599399
19,2005-12-01,2014-03-01,0.0026729125137220267,0.002549168948830915,0.0032349905774497942,0.5374854010587948
20,2006-01-01,2014-04-01,0.002972131619190822,0.002866248880063478,0.0034445484933363912,0.4547048572993434
21,2006-02-01,2014-05-01,0.0033133045926135494,0.0029139407843283252,0.003493095453298001,0.43201937461239437
22,2006-03-01,2014-06-01,0.0029087170139066526,0.002927013011349387,0.00349561316044016,0.4421702373598696
23,2006-04-01,2014-07-01,0.0028220557855220462,0.002720697818671443,0.003356641518540875,0.4855084623118425
24,2006-05-01,2014-08-01,0.0024952453799519355,0.002669242746297474,0.003324455494750369,0.4454986332626939
25,2006-06-01,2014-09-01,0.002003996572860432,0.0025168391299866164,0.0031270573879083725,0.4888573244394864
26,2006-07-01,2014-10-01,0.0024952453799519355,0.0025956165285067347,0.0031827099359336974,0.49463924590335295
27,2006-08-01,2014-11-01,0.0020006974724608045,0.0023638850360353514,0.0029992891451420495,0.5576492504465234
28,2006-09-01,2014-12-01,0.0011333009328103607,0.002154762584081357,0.0028415464991701934,0.5806189861425735
29,2006-10-01,2015-01-01,0.0010924818765659127,0.0021273386030052515,0.0028347230982721664,0.5830798435056337
30,2006-11-01,2015-02-01,0.0010924818765659127,0.0017917702511508363,0.0022160563741747234,0.7302849681778601
31,2006-12-01,2015-03-01,0.0020006974724608045,0.002033572004767337,0.002406522897008191,0.6843924067194339
32,2007-01-01,2015-04-01,0.0019468067930617683,0.0022155229855916753,0.0025477575468732675,0.6196591242230851
33,2007-02-01,2015-05-01,0.002513093097325827,0.002154488635455696,0.00245325777619875,0.6547402133385493
34,2007-03-01,2015-06-01,0.0014946574950058837,0.0019190737886162852,0.0022204669907264782,0.7248657291973191
35,2007-04-01,2015-07-01,0.0019468067930617683,0.001970497547309201,0.002245619596046429,0.7195115689059993
36,2007-05-01,2015-08-01,0.0017209602692603604,0.0020448513457758033,0.002293129129731456,0.7131962832756001
37,2007-06-01,2015-09-01,0.0019543945662942944,0.002105036770615419,0.0023487859070688527,0.6994218274156954
38,2007-07-01,2015-10-01,0.0019543945662942944,0.002070037679824319,0.0023042572655570816,0.7381108688515133
39,2007-08-01,2015-11-01,0.0019543945662942944,0.0020501033171683026,0.0022815551796543858,0.7176994775009689
40,2007-09-01,2015-12-01,0.0022045880802180296,0.0021603557150844796,0.002360268356807098,0.6890884939959743
41,2007-10-01,2016-01-01,0.002316517684203153,0.0023142653294274214,0.0024775973013038623,0.651223468167986
