sstart,ssample_start_date,ssample_end_date,mad,mae,rmse,r_sq
0,2004-05-01,2012-08-01,0.0017085487427987165,0.0020420191145054173,0.002832537632328279,0.4543498620773708
1,2004-06-01,2012-09-01,0.002558285479312161,0.0024407238887252155,0.0031738994001399715,0.2909635649431762
2,2004-07-01,2012-10-01,0.0015592118650321067,0.0022592874587399536,0.0030524438464948505,0.3325402931463932
3,2004-08-01,2012-11-01,0.001172385432982346,0.0019858808874167193,0.0029222241873562206,0.306192807077487
4,2004-09-01,2012-12-01,0.0013251666978077508,0.0021398037797389917,0.0029576375477569977,0.3598117973523811
5,2004-10-01,2013-01-01,0.0021899933387131395,0.0026339479104347746,0.0032876459075465575,0.1915063934638005
6,2004-11-01,2013-02-01,0.0024341448110326456,0.002694985778514651,0.0033400347522722553,0.25702926868896137
7,2004-12-01,2013-03-01,0.002296367300271646,0.0026605414008244017,0.0033330230879773126,0.31564757294878554
8,2005-01-01,2013-04-01,0.002296367300271646,0.002557489809768622,0.003140904817210555,0.4271286247462217
9,2005-02-01,2013-05-01,0.0013251666978077508,0.002203123871194604,0.0028137578737351242,0.516577979807193
10,2005-03-01,2013-06-01,0.0017469429925774066,0.0022417270584012055,0.002834434732882246,0.5100413082799361
11,2005-04-01,2013-07-01,0.0018149227043572232,0.002296177790900662,0.0028449234612923434,0.5776259133297228
12,2005-05-01,2013-08-01,0.002209800235098019,0.0029812628613510757,0.0036903525253648645,0.3185126690396757
13,2005-06-01,2013-09-01,0.0018149227043572232,0.0025239708947389023,0.0034024392539344743,0.4580625349873434
14,2005-07-01,2013-10-01,0.0011042468887382281,0.0022872526053357737,0.003250031519150201,0.4788096371141971
15,2005-08-01,2013-11-01,0.0012529322197082904,0.00258326540502723,0.003403561290621961,0.4590566896011111
16,2005-09-01,2013-12-01,0.0006650252750578879,0.0019225879900959838,0.002765311606674787,0.6251303511643289
17,2005-10-01,2014-01-01,0.0006650252750578879,0.002582819501401044,0.0035905381460605555,0.4811522066223274
18,2005-11-01,2014-02-01,0.0009995600029191374,0.0024749910110049914,0.0035532329617294217,0.4929672475677638
