sstart,ssample_start_date,ssample_end_date,mad,mae,rmse,r_sq
0,2004-05-01,2012-08-01,0.0023972324616490528,0.0021985435577925264,0.003078136282074702,0.29752863654239503
1,2004-06-01,2012-09-01,0.0025659016398049354,0.002580015654854345,0.0033289415032763912,0.21463861005685947
2,2004-07-01,2012-10-01,0.001936300213105997,0.0025012976729256063,0.003278766120312583,0.24063026506381135
3,2004-08-01,2012-11-01,0.001936300213105997,0.0024960012686444126,0.0032786985324518504,0.2519661162127793
4,2004-09-01,2012-12-01,0.0023199074231266487,0.002498768968004149,0.003279362391222988,0.2623402139119658
5,2004-10-01,2013-01-01,0.0017382028660248676,0.0025125973139314296,0.003289476836910047,0.2460652378463154
6,2004-11-01,2013-02-01,0.002090697066485584,0.0026384768067431886,0.003417106763229205,0.17699488394113105
7,2004-12-01,2013-03-01,0.0022693586040324126,0.0025723441789964685,0.003406004169924394,0.23062166626832403
8,2005-01-01,2013-04-01,0.0029662883930753605,0.002959661363890641,0.0036812134950665837,0.12481056506633648
9,2005-02-01,2013-05-01,0.0022693586040324126,0.0028065682727388993,0.003562542126470857,0.17999575680120428
10,2005-03-01,2013-06-01,0.001978226324447724,0.002574015514763956,0.0034515024869568364,0.23733559299714202
11,2005-04-01,2013-07-01,0.0015598694250337822,0.002022674408545636,0.002572664877088844,0.6312998698487493
12,2005-05-01,2013-08-01,0.0017815946407573786,0.002080799889567933,0.0026729243788892795,0.6239105565467566
13,2005-06-01,2013-09-01,0.0017815946407573786,0.0020320783089018994,0.002647190754754594,0.6490707448738271
14,2005-07-01,2013-10-01,0.0023610144686378957,0.0023840497398374782,0.0028947001130871833,0.5837998435023721
15,2005-08-01,2013-11-01,0.0028738719639461808,0.0027487935211548496,0.003229172981826467,0.4968150687879457
16,2005-09-01,2013-12-01,0.002742468920321877,0.002646194962722898,0.003167774310337435,0.5128101609922973
17,2005-10-01,2014-01-01,0.0023610144686378957,0.0029255393643254166,0.00363035251814059,0.4201373186585
18,2005-11-01,2014-02-01,0.0023610144686378957,0.0030602145899069014,0.0036654153026401933,0.38716491898259975
19,2005-12-01,2014-03-01,0.0015229092661417244,0.0026778910691068725,0.003389534939930901,0.5007296367242262
20,2006-01-01,2014-04-01,0.001792396824149728,0.002853062346864806,0.003537666728036212,0.45616785221933986
21,2006-02-01,2014-05-01,0.0034497933214789906,0.0031918600408548815,0.003747758826151545,0.39583759157009657
22,2006-03-01,2014-06-01,0.003654672804444189,0.0030519362414231192,0.0037102619116856418,0.35609632428792104
23,2006-04-01,2014-07-01,0.0034684003991837867,0.0029477931641580754,0.003588380134289153,0.3536200686325156
24,2006-05-01,2014-08-01,0.0034684003991837867,0.0030258693026205797,0.003622302285965427,0.3028821994607406
25,2006-06-01,2014-09-01,0.003234336410736979,0.0030070100133106517,0.003602564692991789,0.32262063952128384
26,2006-07-01,2014-10-01,0.0030134899467641487,0.0028030984268451707,0.003387126729612856,0.41438013687116415
27,2006-08-01,2014-11-01,0.0030134899467641487,0.0028077647023192925,0.0033890210945341265,0.4346721035715654
28,2006-09-01,2014-12-01,0.0018437258543650592,0.00230844192708198,0.002659450542309452,0.5902388295961776
29,2006-10-01,2015-01-01,0.0022255732642554363,0.002247818188366014,0.0026283346216739926,0.5961424488039404
30,2006-11-01,2015-02-01,0.0023411599526109734,0.002449320638322261,0.0027446586901373957,0.5696202851920907
31,2006-12-01,2015-03-01,0.00267454167494747,0.002189572878273155,0.002500644842815523,0.6501136101815503
32,2007-01-01,2015-04-01,0.0022255732642554363,0.002165589886583272,0.002462076925537578,0.6614368921255196
33,2007-02-01,2015-05-01,0.00267454167494747,0.0022731419442141047,0.002497694741694297,0.6507803521133028
34,2007-03-01,2015-06-01,0.0015610424480227158,0.0019504259107636134,0.002235440378153617,0.7321130182419013
